Datetime,Water Level (m)
2022-12-24 00:00:00,-1.0059217
2022-12-24 01:00:00,-1.0831856
2022-12-24 02:00:00,-0.6374969
2022-12-24 03:00:00,-0.042127643
2022-12-24 04:00:00,0.44924745
2022-12-24 05:00:00,0.680017
2022-12-24 06:00:00,0.65980625
2022-12-24 07:00:00,0.31433368
2022-12-24 08:00:00,-0.09967972
2022-12-24 09:00:00,-0.443673
2022-12-24 10:00:00,-0.7381687
2022-12-24 11:00:00,-0.9542229
2022-12-24 12:00:00,-1.1634183
2022-12-24 13:00:00,-1.2136513
2022-12-24 14:00:00,-0.7099259
2022-12-24 15:00:00,0.020573653
2022-12-24 16:00:00,0.68810135
2022-12-24 17:00:00,1.0877358
2022-12-24 18:00:00,1.220984
2022-12-24 19:00:00,0.9946155
2022-12-24 20:00:00,0.5033039
2022-12-24 21:00:00,0.054119352
2022-12-24 22:00:00,-0.3018551
2022-12-24 23:00:00,-0.61455894
2022-12-25 00:00:00,-0.87992084
2022-12-25 01:00:00,-1.0640186
2022-12-25 02:00:00,-1.0866966
2022-12-25 03:00:00,-0.5243446
2022-12-25 04:00:00,0.1238499
2022-12-25 05:00:00,0.59486693
2022-12-25 06:00:00,0.7182085
2022-12-25 07:00:00,0.5879677
2022-12-25 08:00:00,0.18113396
2022-12-25 09:00:00,-0.19641495
2022-12-25 10:00:00,-0.51973045
2022-12-25 11:00:00,-0.78925514
2022-12-25 12:00:00,-0.9959131
2022-12-25 13:00:00,-1.1822362
2022-12-25 14:00:00,-1.1372958
2022-12-25 15:00:00,-0.62581605
2022-12-25 16:00:00,0.15054959
2022-12-25 17:00:00,0.81876004
2022-12-25 18:00:00,1.1580071
2022-12-25 19:00:00,1.2147281
2022-12-25 20:00:00,0.8761444
2022-12-25 21:00:00,0.36216578
2022-12-25 22:00:00,-0.055107877
2022-12-25 23:00:00,-0.40121195
2022-12-26 00:00:00,-0.69463164
2022-12-26 01:00:00,-0.90569293
2022-12-26 02:00:00,-1.0946844
2022-12-26 03:00:00,-0.91642886
